month,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,wd,station,PM2.5
2,18,36.0,2.0,6.0,300.0,76.0,4.0,1016.0,-22.0,0.0,1.1,SE,Huairou,7.0
8,22,104.0,2.0,27.0,1000.0,111.0,29.3,999.4,24.2,0.0,2.0,E,Changping,73.0
9,19,132.0,14.0,60.0,800.0,87.0,17.5,1012.5,6.7,0.0,0.8,SE,Dongsi,84.0
11,20,185.0,11.0,83.0,1600.0,7.0,3.6,1007.9,-3.2,0.0,0.0,NE,Gucheng,77.0
8,9,10.0,1.0,27.0,300.0,39.0,23.8,1010.0,7.4,0.0,3.5,NE,Nongzhanguan,3.0
6,12,79.0,4.0,36.0,600.0,199.0,34.1,1001.2,13.5,0.0,2.4,ESE,Guanyuan,48.0
12,15,219.0,50.0,104.0,3500.0,7.0,3.6,1027.3,-1.6,0.0,1.9,ENE,Dongsi,191.0
7,23,76.0,2.0,59.0,1600.0,17.0,26.6,1005.4,23.1,0.0,0.9,ENE,Tiantan,76.0
10,13,60.0,8.0,39.0,500.0,36.0,14.9,1013.8,2.4,0.0,1.5,SW,Huairou,39.0
11,14,14.0,6.0,15.0,500.0,62.5464,12.7,1020.9,-7.9,0.0,0.0,NW,Shunyi,12.0
11,10,22.0,16.0,38.0,600.0,19.7064,13.0,1018.5,-10.1,0.0,1.9,WSW,Nongzhanguan,19.0
6,18,73.0,2.0,18.0,600.0,206.0,32.5,997.3,11.1,0.0,3.0,SSW,Guanyuan,49.0
12,0,136.0,70.0,83.0,3100.0,4.0,-3.4,1022.2,-11.9,0.0,0.8,W,Huairou,155.0
7,4,127.0,2.0,16.0,,62.0,27.0,1002.7,25.8,0.9,1.0,E,Nongzhanguan,127.0
9,15,31.0,4.0,21.0,400.0,127.0,30.0,1002.7,10.0,0.0,4.2,WSW,Tiantan,14.0
5,5,98.0,2.0,8.0,100.0,88.0,15.3,1007.9,-4.6,0.0,3.2,WNW,Aotizhongxin,42.0
11,20,6.0,2.0,22.0,300.0,54.4068,12.7,1018.7,-4.9,0.0,1.5,N,Changping,8.0
12,7,264.0,13.0,109.0,6100.0,4.0,-2.0,1006.4,-5.0,0.0,0.9,N,Changping,206.0
11,17,14.0,3.0,13.0,400.0,45.0,1.6,1020.9,0.7,0.0,3.9,NE,Shunyi,14.0
10,5,147.0,2.0,,1000.0,41.0,11.6,1011.5,11.1,0.0,0.8,NE,Huairou,147.0
4,6,118.0,13.0,78.0,700.0,12.0,7.1,1020.6,-2.4,0.0,1.7,ENE,Nongzhanguan,40.0
4,19,202.0,25.0,30.0,900.0,208.0,28.2,1002.5,11.3,0.0,5.4,SW,Guanyuan,82.0
6,6,33.0,2.0,49.0,600.0,40.0,20.8,997.0,15.8,0.0,1.1,SSE,Gucheng,22.0
11,23,124.0,7.0,65.0,1500.0,4.0,8.6,1011.7,4.6,0.0,2.5,ESE,Dingling,92.0
6,3,31.0,6.0,16.0,600.0,56.0,24.6,998.1,6.8,0.0,0.8,ESE,Gucheng,12.0
8,15,7.0,2.0,2.0,300.0,92.0,29.1,1006.0,7.1,0.0,1.5,SE,Dingling,4.0
9,14,159.0,4.0,58.0,1200.0,55.0,21.4,1011.5,16.6,0.0,2.0,S,Nongzhanguan,144.0
12,21,267.0,26.0,112.0,3500.0,6.0,1.2,1021.2,-4.1,0.0,0.5,W,Gucheng,248.0
8,12,127.0,30.2736,55.431,1000.0,149.0,33.5,993.7,25.2,0.0,1.8,WSW,Wanliu,151.0
12,10,223.0,7.0,39.0,400.0,50.0,7.5,1009.6,-14.7,0.0,2.9,NW,Tiantan,26.0
1,0,5.0,2.0,11.0,800.0,63.0,-6.4,1020.2,-23.7,0.0,4.9,N,Wanliu,4.0
4,3,14.0,3.0,35.0,300.0,32.0,12.0,1004.4,10.9,0.2,0.7,SSE,Wanliu,14.0
2,12,113.0,54.0,,1700.0,33.0,0.3,1023.4,-11.1,0.0,2.0,SSW,Dongsi,86.0
8,13,57.0,6.0,10.0,600.0,139.0,33.9,991.7,19.9,0.0,0.7,W,Huairou,27.0
